"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"Gianni DL – L258","","2014-07-14","La nostra esperienza è stata complessivamente positiva, sia per quanto riguarda la prenotazione dall'italia e la documentazione, sia per quanto riguarda l'organizzazione del viaggio in olanda. tra gli aspetti più positivi ci sono: la qualità del cibo a bordo; la bravura della tour leader, che ha fornito documentazione sulle diverse tappe e spiegazioni esaurienti; la disponibilità del personale di bordo. qualche pecca nel servizio ""alberghiero"", non sempre venivano forniti gli asciugamani puliti e altri accessori della camera e alcuni addetti sembravano poco preparati. alcune tappe erano abbastanza lunghe (oltre 50 km) e quindi necessitavano di un certo allenamento. forse l'indicazione sul livello di difficoltà andrebbe un po' elevata. gianni de luca","Gianni DL","L258 - Olanda in Bici e Barca sulla Rotta Nord","L258","",""
"Giovanni F. – L259","https://www.verde-natura.it/wpsite/wp-content/uploads/L259-commento-02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L259-commento-02-a.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L259-commento-01-a.jpg","2012-03-14","Buongiorno,
 con questa volevo ringraziare  verde-natura per la splendida settimana trascorsa in olanda
 e spero di poter ripetere l´esperienza con un´altro dei vostri tour il prossimo anno.
  
  giovanni f.","Giovanni F.","L259 - Bici e barca rotta sud","L259","",""
"Sabrina C. – L259","","2014-09-17","Buongiorno, ""ci è molto piaciuta la possibilità di fare una vacanza in bici e barca in olanda. dopo molti tour in cui abbiamo cambiato ""casa"" quasi ogni giorno, sapere di tornare allo stesso posto al termine di ogni giorno è stato piacevole. la barca è graziosa e gli spazi comuni ampi e luminosi, le cabine sono piccole ma ognuna con oblò e mini bagno: ristretto ma funzionale. si cena tutti insieme ogni giorno alle 18.00 (!!), nella sala comune in tavoli da 6 (come italiani dal palato fino dobbiamo un po' adattarci alla cucina proposta). eravamo gli unici italiani, così abbiamo avuto il piacere di conoscere francesi, canadesi, nord europei. la mattina colazione tutti insieme con la possibilità di prendere il pranzo al sacco (incluso). poi ognuno per sé in giro in bici (abbiamo optato per il viaggio in libertà ma esiste anche quello di gruppo). le bici a nolo lasciavano invece a desiderare, buone le sacche e ok anche le road map.giri medio lunghi ma semplici, a parte una tappa lunghetta che si è presentata con molto vento contro (pare sia relativamente frequente in quel punto). panorami fantastici. il tour è stato bellissimo, tra i più belli fatti finora - e siamo ormai a quota 10. tanto mare, tanto verde, tanta aria pulita. gli olandesi, cordiali e piacevoli, parlano tutti benissimo l'inglese e molti anche il tedesco. un viaggio da consigliare a chi vuole fare un'esperienza diversa e conoscere nuovi luoghi e nuove persone. "" grazie e buona giornata, sabrina c.","Sabrina C.","L259 - Bici e barca rotta sud","L259","",""
"Agatino R. – L259","","2014-09-20","Viaggio perfetto. grande professionalità a bordo dell'imbarcazione, tour leader competente e misurato. luoghi meravigliosi e a portata delle nostre gambe.","Agatino R.","L259 - Bici e barca rotta sud","L259","",""
"Sara & Gianni – L259","","2012-03-14","Buongiorno,
  invio tre foto della nostra avventura in olanda rotta sud fatta ad agosto, grazie di tutto!!
 sara & gianni","Sara & Gianni","L259 - Bici e barca rotta sud","L259","",""
"C. Giancarlo  – L259","","2014-08-25","Bici e barca in olanda rotta sud dal 8/8 al 16/8:bellissima vacanza,organizzazione perfetta,ottima sistemazione itinerario sempre vario e gradevole.","C. Giancarlo","L259 - Bici e barca rotta sud","L259","",""
"FERDINANDO E LAURA – L259","","2018-07-07","Il nostro viaggio in Olanda  ""Bici e barca rotta Sud"" è stato uno dei più bei viaggi effettuati con voi:  il percorso è facile, adatto a tutti, i panorami (sebbene simili a dove viviamo -pianura lombarda) sono bellissimi anche per la moltitudine di specie animali che vivono e pascolano in libertà, per i mulini e i tantissimi canali, fiori ecc.senza parlare delle città visitate,  sia quelle conosciute, che i caratteristici paesini dei dintorni. La formula poi della barca e bici è stata proprio una bella esperienza: la barca DE AMSTERDAM molto bella e confortevole, le cabine anche se piccole sono accoglienti e dotate di tutto. Il personale è stato molto premuroso e preparato, anche le due guide simpaticissime, che nonostante le difficoltà di lingua, ci hanno messo subito a nostro agio. La nota più dolente sono le cene, il cibo cucinato molto bene ma non abbonadante e l'orario della cena alle ore 18,00! VIAGGIO CONSIGLIATISSIMO!!","FERDINANDO E LAURA","L259 - Bici e barca rotta sud","L259","",""
"FERDINANDO E LAURA – L259","","2018-07-07","Il nostro viaggio in Olanda  ""Bici e barca rotta Sud"" è stato uno dei più bei viaggi effettuati con voi:  il percorso è facile, adatto a tutti, i panorami (sebbene simili a dove viviamo -pianura lombarda) sono bellissimi anche per la moltitudine di specie animali che vivono e pascolano in libertà, per i mulini e i tantissimi canali, fiori ecc.senza parlare delle città visitate,  sia quelle conosciute, che i caratteristici paesini dei dintorni. La formula poi della barca e bici è stata proprio una bella esperienza: la barca DE AMSTERDAM molto bella e confortevole, le cabine anche se piccole sono accoglienti e dotate di tutto. Il personale è stato molto premuroso e preparato, anche le due guide simpaticissime, che nonostante le difficoltà di lingua, ci hanno messo subito a nostro agio. La nota più dolente sono le cene, il cibo cucinato molto bene ma non abbonadante e l'orario della cena alle ore 18,00! VIAGGIO CONSIGLIATISSIMO!!","FERDINANDO E LAURA","L259 - Bici e barca rotta sud","L259","",""
"Roberta – G260","","2018-08-25","ESPERIENZA BELLISSIMA!!!
 E' veramente rilassante ed energico al tempo stesso, pedalare tra fattorie e campi pieni di animali, foreste, parchi naturali, castelli e villaggi caratteristici di pescatori e non solo.
 Equipaggio e barca, la Lena Maria, davvero accoglienti. Cucina ottima e varia, pulizia garantita.
 La guida? Klass, davvero bravo!
 Il gruppo? Veramente molto piacevole. Io ero l'unica Italiana... un'occasione fantastica per esercitare il mio inglese, dato che avevo scelto appositamente una vacanza in gruppo internazionale.
 Un viaggio appagante e sicuro anche per chi può (o deve) partire da sola, come ho fatto io.","Roberta","L260 - Bici e barca tra le città anseatiche d'Olanda","L260","",""
"Silvana e Daniele – L261","https://www.verde-natura.it/wpsite/wp-content/uploads/L261-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L261-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L261-commento-01-a.jpg","2016-09-09","e' stata la nostra prima esperienza di vacanza in bici e abbiamo scelto la soluzione viaggio individuale: non volevamo avere troppi vincoli di orari e sentivamo l'esigenza di muoverci in libertà, cosa che questo viaggio garantisce in pieno in quanto le uniche due regole da rispettare sono la consegna dei bagagli al mattino entro le 9.00, e il check-in nel nuovo albergo entro le 18.00. durante la giornata quindi massima libertà di movimento. questa vacanza resterà sicuramente nei nostri cuori perchè ci è piaciuta moltissimo. il kilometraggio giornaliero non era eccessivo (alla portata di chiunque sia avvezzo a fare un po' di attività fisica) e, pur prendendosela comoda durante lo spostamento in bici, restava sempre sufficiente tempo per la visita delle città. quello che ci è piaciuto di questo viaggio è che durante gli spostamenti in bici si viaggia sempre nel verde, tra mulini, polder, distese infinite di campi ecc. ma quando si arriva a destinazione le città in cui si soggiorna sono tutte interessanti e offrono spunti culturali. insomma un giusto mix di natura e cultura. gli hotel erano tutti buoni e in posizione centrale, quello di amsterdam che era un po' decentrato era comunque ben servito da metro e tram. per quanto riguarda l'organizzazione e la prenotazione del viaggio con verde natura ci siamo trovati bene e non c'è stato nessun intoppo. abbiamo solo un'unica osservazione. l'ultimo giorno di bici prevede lo spostamento da gouda ad amsterdam (è il giorno con il kilometraggio maggiore). nel programma di verde natura si dice che con una breve deviazione è possibile fare tappa ad utrecht, però nella road map che ci è stata consegnata in loco dal corrispondente il tragitto indicato non passa affatto nei pressi di utrecht (che rispetto a gouda rimane spostata ad est) ma sale direttamente a nord verso amsterdam senza tappe intermedie. fortunatamente noi avevamo il gps (ne consigliamo vivamente il noleggio) e grazie a ciò siamo comunque riusciti ad andare ad utrecht (che è una bellissima cittadina e merita senz'altro una visita)allungando un po' il percorso. senza gps però sarebbe stato molto difficile farlo in quanto sulla road map i numeri di riferimento delle ciclabili per andare ad utrecht non c'erano. a parte questo piccolo intoppo, la vacanza comunque è stata veramente bellissima e la consigliamo vivamente!","Silvana e Daniele","L261 - Le perle d'Olanda","L261","",""
"Serena – L261","","2018-04-29","Abbiamo viaggiato per una settimana in bici con due bambini di 5 e 4 anni con noi. Abbiamo noleggiato un carrellino e un seggiolino, oltre alle bici per noi adulti. Nonostante siamo sportivi, devo dire che è stato abbastanza faticoso portarli entrambi per il chilometraggio giornaliero previsto, soprattutto nelle giornate di vento (sempre  contro!!). A parte questa difficoltà, questo itinerario è super! Abbiamo noleggiato il navigatore (assolutamente necessario!) ed esso aveva già pre-impostato tutte gli itinerari che ci hanno permesso di evitare le LF, piste ciclabili a lunga percorrenza, meno paesaggistiche, e ci ha indicato le ciclabili che passano vicino a principali punti di interesse: mulini, castelli, canali, piccole cittadine... 
 Inoltre, siamo andati nel periodo della piena fioritura dei tulipani. Un vero spettacolo! Abbiamo visitato anche il Keukenhof, da vedere una volta nella vita. 
 Abbiamo diviso l'ultima tappa in due, soggiornando una notte a Utrech che è davvero molto elegante. 
 Gli hotel sono davvero molto belli. Hanno quasi tutti un parcheggio interno per le biciclette, tranne quello di Haarlem (che ha però un parcheggio comunale coperto  e gratuito proprio di fronte). 
 Verdenatura è stata molto professionale.","Serena","L261 - Le perle d'Olanda","L261","",""
"Michele – L265","","2019-07-29","Un bellissimo viaggio molto gradevole tra canali ricchi di piante e di tanti uccelli selvatici. La gente molto ospitale e cortese. In qualche albergo la sistemazione è stata un po' troppo angusta (camere molto piccole).","Michele","L265 - Amsterdam Bruges","L265","",""
"Massimiliano – L275","","2019-08-05","Molto bella . Ci siamo trovati bene anche grazie al supporto e collaborazione di Riccardo e Eric. Ampliate i tour disponibili che ne faremo sicuramente anche altri.","Massimiliano","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Anna & C. – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180707_112531_resized_20180830_041036860.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180706_103149_resized_20180830_040949782.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180706_095912_resized_20180830_042228120.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180706_094705_resized_20180830_040308567.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180705_122529_resized_20180830_040909057.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180705_121656_resized_20180830_042430432.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180705_121627_resized_20180830_040404956.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180705_102506_BURST001_COVER_resized_20180830_040908513.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180704_145449_resized_20180830_040811430.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180702_103112_resized_20180830_040810940.jpg","2018-07-01","Ottima esperienza paesaggi incantevoli, abbiamo anche avuto la fortuna di trovare una settimana eccezionale dal punto di vista ""meteo"".  Ottima l'organizzazione, un grazie particolare a Riccardo  che ci ha supportato e sopportato meravigliosamente. Le tappe in Francia sono state per noi (eravamo un gruppo di 8 amici) le più belle sia per i paesaggi che per lo stato di gestione delle piste ,  in Inghilterra, apparte il problema non sottovalutabile della guida a destra!!!, le piste ciclabili sono meno curate e più ""scomode"" nell'utilizzo. Stiamo già pensando al giro che faremo il prossimo anno.","Anna & C.","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Claudia e Luca – L275","","2017-07-23","La vacanza è stata bellissima, passando per posti con una vista spettacolare, con campi e verde a perdita d'occhio. 
 Abbiamo fatto il tour in libertà, ma sul posto abbiamo trovato Filippo che è stato sempre molto gentile e disponibile. L'organizzazione è stata perfetta; magari avere in anticipo il road book sarebbe stato meglio, per studiare i percorsi con calma. Gli hotel molto carini (a parte un Ibis con le stanze davvero claustrofobiche), ben posizionati e con buone colazioni, forse il più scarso da questo punto di vista è l'Holiday Inn Express nella penultima tappa. Esperienza ottima, stiamo già pensando alla prossima vacanza!","Claudia e Luca","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","Salve Claudia e Luca,
 effettivamente l'holiday Inn di Crawley non era all'altezza, e quest'anno è stato cambiato con un hotel 4 stelle poco distante.
 grazie comunque della segnalazione.",""
"FABIO – L275","","2017-08-20","Parigi-Londra, bellissima esperienza. Era il nostro primo bike tour organizzato dato che gli altri ce li siamo sempre autogestiti, gli alberghi ottimi, le biciclette resistenti ed efficienti ( muletti pesanti ). Il percorso è fantastico anche se a tratti faticoso, ma piano piano sono sempre arrivati tutti, magari no  indicato per bimbi di eta inferiore a 11 anni. Siamo stati forniti di una app  funzionante off line  con le caratteristiche di un GPS, ciò ci ha permesso di individuare tempestivamente il giusto percorso ( che praticamente non è segnalato) e verde natura ha l'esclusiva di tale sistema attualmente. Il nostro "" assistente di viaggio "" è stato gentilissimo ed efficentissimo : BRAVO RICCARDO!!!! Insomma giudizio positivo,  Per non farlo sembrare tarocco e guidato voglio dire una cosa negativa: CHE PEZZI DE FERRO LE BICICLETTE, ma per 90 euro a settimana che vuoi pretendere? 
 P.S. Stiamo valutando di approfitatre nuovamente di verde natura il prossimo anno con una Londra Amsterdam.","FABIO","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","Ciao Fabio, grazie per il prezioso feedback. 
 Come hai potuto constatare, le bici che noleggiamo non sono ovviamente bici da corsa; hanno il telaio in alluminio e pesano 12 kg. Sono i mezzi ideali per viaggiare su terreni misti e per essere trasportate. Come hai giustamente evidenziato tu, sono resistenti ed efficienti, considerando appunto che per tutta la stagione devono passare di mano in mano (e non sempre in mani esperte) e di paese in paese a bordo di furgoni e traghetti. Nel sceglierle abbiamo insomma cercato il miglior compromesso possibile per affidabilità ed utilizzo. Il vostro parere rimane comunque fondamentale per poterci sempre migliorare. Grazie e a presto!",""
"Marisa Mazzarese – L275","","2018-08-05","Molto positiva , l accompagnatore Mario molto bravo e professionale.
 Come aree di miglioramento 
 segnalo la qualità delle biciclette,  la lunghezza della prima tappa troppo breve potrebbe essere allungata accorciando le successive. App molto funzionale.
 L unico hotel da migliorare rimane l hotel Moderne a Gisors","Marisa Mazzarese","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","Buongiorno Marisa, purtroppo per esigenze logistiche non è possibile allungare la prima tappa in quanto non ci sono hotel in località toccate dal tour che siano ad un buon livello, così pure a Gisors c'è solo un hotel ed è l'unico nel raggio di 50 km. In ogni caso il proprietario farà lavori di ammodernamento per il prossimo anno. Grazie comunque per i suggerimenti, lo staff VN",""
"Franco – L275","","2014-09-06","Ottima esperienza a contatto con paesaggi fantastici. perfetta l'organizzazione e la sistemazione in hotel (forse quello di gisors lascia un po' a desiderare...). qualche difficoltà a seguire il percorso ufficiale soprattutto nei centri urbani...compagni di viaggio fantastici pur senza guida ufficiale ( viaggio in libertà) . per quanto riguarda le cene ottimi i consigli del nostro....angelo custode luigi.","Franco","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Mauro e Laura – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-06-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-06-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-06-a.jpg","2014-08-26","Per noi è stata la prima esperienza di tour in bicicletta e si è rivelata molto gradevole. itinerario vario e ben distribuito, traffico scarso/assente, sistemazioni albeghiere decorose, organizzazione efficiente. le biciclette privilegiano la robustezza e l'affidabilità a discapito della leggerezza. nota di merito per il nostro accompagnatore luigi: poche ma utilissime indicazioni, mai una parola di troppo, quasi a non voler rovinare lo spirito libero della vacanza che abbiamo scelto di fare.","Mauro e Laura","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Maura, Katia, Mauro e Cristiano – L275","","2014-08-29","Stiamo gia' pensando alla prossima avventura con natura verde (e una mezza idea in cantiere gia' c'e') questo dovrebbe bastare per riassumere quanto piacevole e' stata questa esperienza. le descrizioni sul sito e i feedback ci hanno notevolmente aiutato a capire la tipologia di vacanza e il tipo di preparazione richiesta. il personale durante la prenotazione e nei piccoli dubbi prima della partenza e' stato competente e gentile. per quanto riguarda il percorso e' sicuramente fattibile con un buon allenamento, le tappe francesi sono migliori sia dal punto di vista paesaggistico che dal punto di vista delle ciclabili (abbiamo notato un notevole riguardo nei confronti dei ciclisti). alcune parti delle tappe inglesi invece sono in zone trafficate e le piste ciclabili risultano trascurate (attraversamenti sbiaditi) o non rispettate (abbiamo trovato tratti con auto parcheggiate e un punto dove era impossibile evitare le ortiche). le sistemazioni in hotel sono buone a parte l'hotel di gisors che se pur caratteristico non ha i necessari confort dopo una tappa così lunga e piovosa come e' stata la nostra (una stufetta per asciugare gli indumenti sarebbe stata gradita e negli altri hotel c'era) ma a suo onore va detto che ci ha preparato la migliore colazione. le bici che abbiamo noleggiato sono perfette per questo tipo di percorsi necessitavano forse di un po' di manutenzione ordinaria ma e' andata bene lo stesso. le selle sono comodissime e di questo ringraziamo. il trasporto dei bagagli e' sempre stato puntuale e riccardo e' stato molto gentile e disponibile nel darci indicazioni e suggerimenti. l'unica cosa che purtroppo devo riferire e' che nell'ultima tappa di londra ci siamo persi a pochissimi km dall'arrivo e proprio quando pensavamo di non venirne a capo abbiamo visto passare il gruppo con la guida. abbiamo pensato che finalmente potevamo fare l'ultimo pezzo in tranquillita' e invece siamo stati rimproverati di essere in ritardo e invitati a non accodarci. sicuramente c'e' una spiegazione ma visto che mancava poco non avremmo creato danno a nessuno. in ogni caso questo non pregiudica l'ottima impressione che ci ha fatto l'organizzazione di verde natura in generale. alla prossima vacanza.","Maura, Katia, Mauro e Cristiano","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Eleonora – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-07-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-07-a.jpg","2014-08-25","Un'esperienza bellissima di cui c'è già la nostalgia. nel mio caso particolare, nel nostro, è stato un viaggio speciale perchè è stata la parte centrale della nostra luna di miele: fantastico! i km sono abbastanza e il percorso presenta dei tratti anche impegnativi, ma l'entusiasmo che fa muovere le gambe e di conseguenza i pedali c'è sempre stato. abbiamo anche avuto la fortuna dalla nostra parte e il tempo è stato clemente, ha piovuto solo un po' in normandia (ma abbiamo scoperto che in normandia piove sempre!) e il sole ci ha accompagnato fino al nostro arrivo, quasi trionfale, alla base del big ben. buoni gli alberghi, buoni i ristoranti, buona la compagnia e ottimi gli accompagnatori e il supporto logistico. l'unico problema è che adesso bisogna aspettare il prossimo anno per ripetere un'esperienza così! grazie verdenatura!","Eleonora","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Barbara – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-08-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-08-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-08-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-08-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-08-a.jpg","2014-08-15","Premetto che per noi, abituati a partire in bici con le sacche da casa, è stato il primo viaggio organizzato che abbiamo scelto con non pochi dubbi e invece si è rivelata un'esperienza bellissima e forse anche più ricca di altre in totale autonomia. abbiamo scelto l'opzione in libertà e nel corso del tragitto abbiamo creato un piccolo gruppo con altre persone incontrate durante il percorso, che è stato un punto di forza ed una delle più belle sorprese di questa vacanza. il tragitto è bellissimo, soprattutto le tappe francesi dalla seconda fino a dieppe che è incantevole. molto bello è stato anche l'ingresso a londra, non mi aspettavo tanto verde e fattorie a così pochi km dal centro. per quanto riguarda l'organizzazione devo dire che i due riccardi sono stati davvero disponibili gentili e pronti a fornire utili informazioni suggerimenti. il mio cruccio prima di partire era pedalare su una bici che non fosse la mia, e devo dire che alla fine sono rimasta contenta, certo sono bici da cicloturismo, quindi un po' più pesanti, ma molto resistenti e con un sellino davvero comodo. promuovo verdenatura a pieni voti e consiglio questa vacanza veramente a tutti. assolutamente da fare!","Barbara","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Rolf Ketil Solberg – L275","","2014-07-15","Siden dere skriver på italiensk til meg, tillater jeg meg å skrive på norsk til dere: vi opplevde bestilling og bestillingsinformasjon som rask, presis og adekvat. orientering på det første hotellet var bra. alle hotellene var gode, frokosten var litt forskjellig fra hotell til hotell, men god og tilstrekkelig. veien var godt merket, men av og til ble det ganske detaljert fordi vi ble ledet ut av voie verte. noen steder i england følte vi det som risikosport å måtte dele veien med stor biltrafikk. de vi syklet sammen med var hyggelige, guiden var svært flink og hjelpsom. vi er svært godt fornøyd med turen, unntatt med været, men det kan vel ikke natura verde noe for?","Rolf Ketil Solberg","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Franca – Sergio – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-09-a.jpg","2014-08-01","Posso sicuramente dire che l'esperienza è stata molto positiva, sotto tutti i punti di vista, dall'organizzazione (un grazie di cuore ai due ragazzi sempre a nostra disposizione e gentilissimi oltre che preparatissimi), al percorso, al road book curato alla perfezione, ai compagni di viaggio. lo consigliamo a tutti (sempre che ci si prepari in modo adeguato) e consigliamo anche verde natura per mille motivi. la deviazione su brighton al posto del classico percorso inizialmente non ci pareva ottimale, ma poi è stata apprezzatissima. per la sistemazione negli alberghi tutto bene e di buon livello a parte l'estensione di tre giorni a londra in un albergo (westbury hotel) che sconsigliamo caldamente (non è quello previsto per l'ultima notet del tour), ma abbiamo capito che la buona fede di verde natura non poteva prevedere il basso livello della scelta (dato per tre stelle che in realtà classificheremmo a meno tre stelle). vabbè, cose che capitano, ma che non hanno inciso con l'alta qualità di tutto il resto. il ricordo di una gran bella esperienza ci accompagnerà per parecchio tempo, con le belle colline francesi, le belle ciclabili sulla senna e sull'oise, la traversata della manica, le più ostiche colline del sussex e l'incredibile arrivo a londra. bel tempo e grande voglia di bici ci hanno fatto compagnia. più ci pensiamo e più ci viene voglia di ripeterla. bello, bello, bello. per riassumere: prenotazione: tutto perfetto, nessun problema sistemazione in hotel: tutti adeguati, dalla sistemazione delle bici alla colazione ( a parte come ho detto il post tour a londra) info su itinerario: un grossissimo complimento ha chi ha fatto il road book e chi ha piazzato gli adesivi nei punti strategici, necessari. grande lavoro. guide e assistenza: tutto perfetto, dalla chiarezza alla grande disponibilità, sempre disponibili e simpatici bici: adeguatissime, ben tenute e accessoriate, ottime le borse aspetti culturali: gran bel giro, tante cose da vedere e bei posti, ottime scelte del percorso grazie ancora, spero a presto.","Franca - Sergio","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Alessandro e Cristina – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-05-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-05-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-05-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-05-a.jpg","2014-09-02","La nostra esperienza con verde natura è stata veramente positiva e siamo felicissimi di avere avuto l'opportunità di andare da parigi a londra su due ruote con un'organizzazione seria e professionale come la vostra. siete stati puntuali e precisi nella fase della prenotazione, gli hotel erano tutti di buon livello, con ottima pulizia, servizi e prima colazione di qualità; le informazioni sull'itinerario, contenute nella guida che ci avete fornito all'inizio, erano estremamente analitiche e permettevano di seguire la rotta senza perdersi. la guida, luigi, è di grande esperienza e dava molta sicurezza la sua presenza da ""angelo custode"" la mattina e la sera. eravamo liberi di organizzare la nostra giornata, ma la guida ci dava le giuste ""dritte"" ed in un caso in cui abbiamo bucato ci ha risolto il problema (c'era una grossa spina che necessitava della pinza per essere estratta). questo viaggio è semplicemente indimenticabile, il modo più bello per vedere a pochi giorni di distanza due capitali meravigliose, in modo diverso ed originale. ci permettiamo di suggerire due cose: 1) sarebbe auspicabile all'inizio del tour una piccola lezione su come si cambia la camera d'aria, contestualmente alla fornitura del kit di emergenza; 2) le indicazioni on the road (frecce e segnaletica) potrebbero essere un po' più evidenti soprattutto quando il percorso è complesso come in città o in aperta campagna con diversi incroci, ad ogni modo davvero bellissimo. vi inviamo qualche foto sperando vi possa piacere. al prossimo viaggio. alessandro e cristina","Alessandro e Cristina","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Alessandra M. – L275","https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L275-commento-04-a.jpg","2015-07-20","Bellissima esperienza!","Alessandra M.","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
"Fg – L275","","2017-08-06","Bellissima esperienza e bel giro, da rifare. Lo consiglieremo ad amici e parenti. Biciclette comodissime (gli ammortizzatori anteriori le renderebbero ancora più adatte e funzionali al percorso). Roadbook dettagliatissimo, mappe e app decisamente utili e funzionali per  un tour in libertà. Staff VerdeNatura gentile e simpatico. Disponibile all'occorrenza per consigli utili e controllo bici. Vedere x credere!","Fg","L275 - Avenue Verte: da Parigi a Londra in bicicletta","L275","",""
